Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use_Chip,Exp_Type,Interest_Earned,Delinquent_Acc,Total_Revenue
708212658,Blue,190,1,70,01/01/23,Week-1,Q1,2023,2193,1260,1799,47,0.575,Swipe ,Bills,521.71,1,1971.71
708216108,Blue,300,1,93,01/01/23,Week-1,Q1,2023,4088,1557,2250,39,0.381,Swipe ,Bills,157.5,1,2014.5
708217758,Blue,475,0,96,01/01/23,Week-1,Q1,2023,14035,2061,1606,30,0.147,Swipe ,Bills,385.44,1,2921.44
708219108,Blue,300,1,95,01/01/23,Week-1,Q1,2023,9959,1143,7300,77,0.115,Swipe ,Grocery,803,1,2246
708219858,Blue,390,1,79,01/01/23,Week-1,Q1,2023,6423,0,4295,70,0,Swipe ,Food,901.95,0,1291.95
708222558,Blue,125,1,109,01/01/23,Week-1,Q1,2023,2310,1513,4191,77,0.655,Chip ,Food,712.47,0,2350.47
708223383,Blue,295,0,81,01/01/23,Week-1,Q1,2023,11410,979,2736,38,0.086,Chip ,Bills,793.44,0,2067.44
708224133,Blue,430,1,105,01/01/23,Week-1,Q1,2023,2228,1480,4431,71,0.664,Swipe ,Grocery,841.89,0,2751.89
708225483,Blue,200,1,68,01/01/23,Week-1,Q1,2023,11242,1561,4246,81,0.139,Swipe ,Entertainment,806.74,0,2567.74
708226833,Gold,415,0,96,01/01/23,Week-1,Q1,2023,34516,831,13247,107,0.024,Swipe ,Food,1192.23,0,2438.23
708229308,Blue,245,1,72,01/01/23,Week-1,Q1,2023,3243,0,6059,71,0,Swipe ,Fuel,727.08,0,972.08
708231183,Blue,460,0,92,01/01/23,Week-1,Q1,2023,12539,910,2643,72,0.073,Swipe ,Grocery,290.73,0,1660.73
708234558,Blue,200,0,88,01/01/23,Week-1,Q1,2023,2239,1340,4540,73,0.598,Chip ,Entertainment,635.6,0,2175.6
708238833,Blue,365,1,61,01/01/23,Week-1,Q1,2023,3032,2215,1387,30,0.731,Swipe ,Fuel,152.57,0,2732.57
708241233,Blue,95,0,73,01/01/23,Week-1,Q1,2023,2972,0,922,25,0,Swipe ,Bills,138.3,0,233.3
708242283,Blue,295,1,59,01/01/23,Week-1,Q1,2023,5346,0,3253,80,0,Swipe ,Food,325.3,0,620.3
708243483,Blue,250,0,119,01/01/23,Week-1,Q1,2023,14938,1155,2248,51,0.077,Swipe ,Bills,427.12,0,1832.12
708244458,Blue,405,1,91,01/01/23,Week-1,Q1,2023,2793,1517,3485,72,0.543,Swipe ,Food,383.35,0,2305.35
708245808,Gold,455,0,78,01/01/23,Week-1,Q1,2023,19671,924,13908,124,0.047,Swipe ,Travel,2503.44,0,3882.44
708248358,Silver,200,1,67,01/01/23,Week-1,Q1,2023,29937,0,14863,109,0,Online ,Bills,1932.19,0,2132.19
708249708,Blue,300,1,92,01/01/23,Week-1,Q1,2023,4844,1576,1489,48,0.325,Swipe ,Fuel,253.13,0,2129.13
708252108,Blue,475,1,162,01/01/23,Week-1,Q1,2023,7362,1907,4065,65,0.259,Chip ,Fuel,243.9,0,2625.9
708253458,Blue,125,1,113,01/01/23,Week-1,Q1,2023,5528,1823,4857,81,0.33,Swipe ,Food,1408.53,0,3356.53
708254733,Blue,325,1,73,01/01/23,Week-1,Q1,2023,2968,1873,5171,85,0.631,Swipe ,Fuel,1241.04,0,3439.04
708255633,Blue,200,0,110,01/01/23,Week-1,Q1,2023,3761,1710,3240,65,0.455,Swipe ,Fuel,550.8,0,2460.8
708260208,Blue,150,1,86,01/01/23,Week-1,Q1,2023,2057,1279,4321,76,0.622,Chip ,Food,1123.46,0,2552.46
708266883,Blue,355,0,136,01/01/23,Week-1,Q1,2023,1666,0,2312,35,0,Swipe ,Food,184.96,0,539.96
708267858,Blue,140,0,115,01/01/23,Week-1,Q1,2023,6088,2145,2098,52,0.352,Swipe ,Entertainment,482.54,0,2767.54
708269583,Blue,335,1,102,01/01/23,Week-1,Q1,2023,2029,1377,4014,86,0.679,Chip ,Entertainment,1003.5,0,2715.5
708271833,Silver,195,1,63,01/01/23,Week-1,Q1,2023,15069,1843,3464,67,0.122,Online ,Bills,831.36,0,2869.36
708272808,Blue,150,0,76,01/01/23,Week-1,Q1,2023,2718,1474,3542,59,0.542,Chip ,Fuel,566.72,0,2190.72
708273858,Blue,355,1,112,01/01/23,Week-1,Q1,2023,34516,0,3734,80,0,Swipe ,Fuel,522.76,0,877.76
708276183,Blue,375,0,91,01/01/23,Week-1,Q1,2023,1760,0,1554,35,0,Swipe ,Bills,279.72,0,654.72
708281433,Blue,335,0,81,01/01/23,Week-1,Q1,2023,1438.3,0,3848,75,0,Swipe ,Food,269.36,0,604.36
708285108,Blue,420,1,80,01/01/23,Week-1,Q1,2023,6128,2239,13505,116,0.365,Swipe ,Fuel,1620.6,1,4279.6
708286683,Blue,250,0,67,01/01/23,Week-1,Q1,2023,12045,1749,4884,86,0.145,Swipe ,Bills,1123.32,1,3122.32
708288108,Blue,360,1,118,01/01/23,Week-1,Q1,2023,5639,1547,647,15,0.274,Swipe ,Bills,135.87,1,2042.87
708290208,Silver,355,1,109,01/01/23,Week-1,Q1,2023,13608,1190,3118,76,0.087,Chip ,Entertainment,841.86,1,2386.86
708291633,Blue,390,1,100,01/01/23,Week-1,Q1,2023,4651,2499,5097,79,0.537,Swipe ,Entertainment,1223.28,1,4112.28
708292833,Blue,150,1,59,01/01/23,Week-1,Q1,2023,27389,1250,2754,60,0.046,Online ,Bills,247.86,1,1647.86
708295533,Blue,250,0,106,01/01/23,Week-1,Q1,2023,3549,1880,1215,22,0.53,Swipe ,Travel,230.85,1,2360.85
708296883,Blue,280,0,93,01/01/23,Week-1,Q1,2023,11749,788,1178,27,0.067,Swipe ,Travel,259.16,1,1327.16
708298233,Blue,125,0,72,01/01/23,Week-1,Q1,2023,6184,0,1756,49,0,Swipe ,Fuel,456.56,1,581.56
708300483,Blue,245,0,110,01/01/23,Week-1,Q1,2023,7882,605,704,16,0.077,Swipe ,Travel,197.12,1,1047.12
708301683,Blue,125,0,89,01/01/23,Week-1,Q1,2023,20798,1059,8038,90,0.051,Swipe ,Food,2009.5,0,3193.5
708303108,Blue,175,0,88,01/01/23,Week-1,Q1,2023,1770,1706,4940,94,0.964,Swipe ,Grocery,1037.4,0,2918.4
708307533,Blue,345,0,89,01/01/23,Week-1,Q1,2023,3086,0,4129,81,0,Swipe ,Food,371.61,0,716.61
708313608,Blue,245,1,61,01/01/23,Week-1,Q1,2023,2464,2116,2110,43,0.859,Swipe ,Food,274.3,0,2635.3
708314808,Blue,100,1,111,01/01/23,Week-1,Q1,2023,5659,1393,1570,40,0.246,Swipe ,Fuel,298.3,0,1791.3
708316008,Blue,345,1,108,01/01/23,Week-1,Q1,2023,10031,0,1792,29,0,Swipe ,Fuel,394.24,0,739.24
708319908,Blue,300,0,92,01/01/23,Week-1,Q1,2023,4116,1473,8667,70,0.358,Online ,Travel,1820.07,0,3593.07
708323208,Blue,290,1,118,01/01/23,Week-1,Q1,2023,1522,0,2241,36,0,Swipe ,Food,403.38,0,693.38
708324483,Blue,290,1,70,01/01/23,Week-1,Q1,2023,1548,0,4420,71,0,Chip ,Bills,707.2,0,997.2
708330858,Blue,250,1,133,01/01/23,Week-1,Q1,2023,8249,1381,678,11,0.167,Swipe ,Travel,122.04,0,1753.04
708331758,Silver,250,0,120,01/01/23,Week-1,Q1,2023,32444,1843,3725,60,0.057,Swipe ,Fuel,409.75,0,2502.75
708332808,Blue,470,1,111,01/01/23,Week-1,Q1,2023,3471,0,14381,115,0,Swipe ,Fuel,3163.82,0,3633.82
708334158,Blue,200,0,98,01/01/23,Week-1,Q1,2023,9863,686,3068,58,0.07,Chip ,Entertainment,306.8,0,1192.8
708337683,Blue,465,1,98,01/01/23,Week-1,Q1,2023,21800,893,3820,62,0.041,Chip ,Entertainment,573,0,1931
708338958,Blue,200,1,54,01/01/23,Week-1,Q1,2023,3173,1713,3797,75,0.54,Chip ,Bills,341.73,0,2254.73
708340758,Blue,300,0,88,01/01/23,Week-1,Q1,2023,7769,0,8109,74,0,Chip ,Grocery,1054.17,0,1354.17
708341958,Blue,175,1,75,01/01/23,Week-1,Q1,2023,2061,1904,4480,86,0.924,Swipe ,Food,716.8,0,2795.8
708344358,Blue,125,1,81,01/01/23,Week-1,Q1,2023,2495,1354,1311,31,0.543,Swipe ,Travel,249.09,0,1728.09
708347583,Blue,465,1,42,01/01/23,Week-1,Q1,2023,2509,1144,1804,38,0.456,Swipe ,Grocery,378.84,0,1987.84
708354858,Blue,200,0,58,01/01/23,Week-1,Q1,2023,14938,0,8192,80,0,Swipe ,Bills,491.52,0,691.52
708355683,Blue,285,0,46,01/01/23,Week-1,Q1,2023,16815,0,2976,65,0,Swipe ,Fuel,624.96,0,909.96
708357183,Blue,300,1,139,01/01/23,Week-1,Q1,2023,1438.3,0,3511,64,0,Chip ,Fuel,702.2,0,1002.2
708358683,Silver,100,0,92,01/01/23,Week-1,Q1,2023,34516,1236,1665,40,0.036,Swipe ,Bills,449.55,0,1785.55
708360108,Blue,245,1,71,01/01/23,Week-1,Q1,2023,2800,1338,4869,90,0.478,Chip ,Grocery,779.04,0,2362.04
708361833,Blue,460,0,76,01/01/23,Week-1,Q1,2023,19430,0,3650,80,0,Swipe ,Fuel,511,0,971
708367908,Blue,190,0,87,01/01/23,Week-1,Q1,2023,3022,1627,4390,82,0.538,Chip ,Bills,614.6,1,2431.6
708369633,Gold,250,1,100,01/01/23,Week-1,Q1,2023,15487,1847,7031,67,0.119,Swipe ,Bills,1054.65,1,3151.65
708371733,Blue,300,1,83,01/01/23,Week-1,Q1,2023,4662,0,4931,81,0,Swipe ,Fuel,1084.82,1,1384.82
708373083,Blue,175,1,110,01/01/23,Week-1,Q1,2023,3356,2517,2032,39,0.75,Swipe ,Fuel,467.36,1,3159.36
708375858,Blue,405,0,83,01/01/23,Week-1,Q1,2023,2776,1341,4318,68,0.483,Swipe ,Grocery,302.26,1,2048.26
708376983,Blue,485,1,149,01/01/23,Week-1,Q1,2023,8513,799,2119,37,0.094,Swipe ,Food,127.14,1,1411.14
708378108,Blue,245,0,97,01/01/23,Week-1,Q1,2023,2147,771,4631,76,0.359,Chip ,Bills,787.27,0,1803.27
708382083,Blue,245,1,93,01/01/23,Week-1,Q1,2023,2292,0,2584,60,0,Swipe ,Bills,335.92,0,580.92
708384033,Blue,420,1,108,01/01/23,Week-1,Q1,2023,2745,2463,2466,39,0.897,Swipe ,Food,345.24,0,3228.24
708385533,Silver,335,1,99,01/01/23,Week-1,Q1,2023,11059,0,9524,80,0,Chip ,Grocery,1523.84,0,1858.84
708386958,Blue,245,1,88,01/01/23,Week-1,Q1,2023,1561,0,1947,28,0,Swipe ,Bills,175.23,0,420.23
708387933,Blue,195,0,114,01/01/23,Week-1,Q1,2023,5500,0,14357,110,0,Swipe ,Bills,1435.7,0,1630.7
708390633,Blue,475,0,81,01/01/23,Week-1,Q1,2023,2421,2312,4219,69,0.955,Chip ,Bills,295.33,0,3082.33
708393633,Blue,190,0,66,01/01/23,Week-1,Q1,2023,2685,1647,4625,94,0.613,Chip ,Fuel,370,0,2207
708394908,Blue,365,1,56,01/01/23,Week-1,Q1,2023,2337,1442,3945,65,0.617,Chip ,Entertainment,276.15,0,2083.15
708396033,Blue,175,0,80,01/01/23,Week-1,Q1,2023,2490,1059,12257,101,0.425,Swipe ,Bills,3064.25,0,4298.25
708397008,Blue,200,1,70,01/01/23,Week-1,Q1,2023,3805,821,4326,67,0.216,Swipe ,Food,865.2,0,1886.2
708398283,Blue,125,1,101,01/01/23,Week-1,Q1,2023,4394,885,1377,32,0.201,Swipe ,Bills,275.4,0,1285.4
708399858,Blue,415,1,68,01/01/23,Week-1,Q1,2023,2548,2250,4747,77,0.883,Swipe ,Entertainment,712.05,0,3377.05
708402333,Blue,395,1,68,01/01/23,Week-1,Q1,2023,4549,1313,4782,88,0.289,Chip ,Fuel,1243.32,0,2951.32
708403308,Silver,425,1,99,01/01/23,Week-1,Q1,2023,15133,1663,4392,68,0.11,Chip ,Bills,570.96,0,2658.96
708404883,Blue,370,0,93,01/01/23,Week-1,Q1,2023,27804,0,2761,57,0,Chip ,Entertainment,745.47,0,1115.47
708406083,Blue,380,1,111,01/01/23,Week-1,Q1,2023,3436,2493,5211,90,0.726,Online ,Bills,1094.31,0,3967.31
708412758,Blue,140,1,47,01/01/23,Week-1,Q1,2023,1457,0,2200,45,0,Chip ,Food,374,0,514
708414033,Blue,245,0,93,01/01/23,Week-1,Q1,2023,2845,1153,3730,66,0.405,Swipe ,Fuel,634.1,0,2032.1
708416433,Blue,125,1,73,01/01/23,Week-1,Q1,2023,2372,0,2499,41,0,Swipe ,Grocery,449.82,0,574.82
708419733,Blue,365,0,66,01/01/23,Week-1,Q1,2023,22599,0,4739,55,0,Swipe ,Food,1374.31,0,1739.31
708421833,Blue,390,0,85,01/01/23,Week-1,Q1,2023,3342,2517,1139,30,0.753,Online ,Bills,193.63,0,3100.63
708423933,Blue,450,1,57,01/01/23,Week-1,Q1,2023,6103,0,3203,64,0,Swipe ,Bills,288.27,0,738.27
708426483,Blue,455,0,105,01/01/23,Week-1,Q1,2023,5816,716,3534,73,0.123,Swipe ,Entertainment,530.1,0,1701.1
708427908,Blue,395,1,100,01/01/23,Week-1,Q1,2023,2035,1343,4643,86,0.66,Chip ,Fuel,325.01,0,2063.01
708428958,Gold,345,0,110,01/01/23,Week-1,Q1,2023,34516,0,9179,113,0,Swipe ,Bills,2019.38,0,2364.38
708431433,Blue,225,1,115,01/01/23,Week-1,Q1,2023,11789,1420,1463,32,0.12,Swipe ,Bills,365.75,0,2010.75
708433683,Blue,125,0,121,01/01/23,Week-1,Q1,2023,3164,2201,4410,86,0.696,Online ,Entertainment,1146.6,0,3472.6
708434733,Blue,385,0,89,01/01/23,Week-1,Q1,2023,6735,2289,1249,28,0.34,Swipe ,Grocery,262.29,1,2936.29
708438033,Blue,175,1,78,01/01/23,Week-1,Q1,2023,3049,2198,2617,48,0.721,Swipe ,Entertainment,575.74,1,2948.74
708442158,Blue,275,0,127,01/01/23,Week-1,Q1,2023,6182,1516,3801,61,0.245,Chip ,Bills,988.26,1,2779.26
708445608,Blue,490,0,43,01/01/23,Week-1,Q1,2023,3305,2517,2027,57,0.762,Swipe ,Entertainment,222.97,1,3229.97
708446808,Blue,250,1,87,01/01/23,Week-1,Q1,2023,2946,1359,2017,48,0.461,Swipe ,Bills,564.76,1,2173.76
708447858,Blue,385,0,92,01/01/23,Week-1,Q1,2023,3850,0,15107,117,0,Chip ,Entertainment,2417.12,1,2802.12
708450033,Blue,465,1,77,01/01/23,Week-1,Q1,2023,2605,2269,5298,79,0.871,Swipe ,Fuel,370.86,1,3104.86
708451233,Blue,410,1,83,01/01/23,Week-1,Q1,2023,5090,1650,3707,72,0.324,Swipe ,Fuel,593.12,1,2653.12
708453408,Blue,355,0,93,01/01/23,Week-1,Q1,2023,16050,0,3721,62,0,Swipe ,Bills,893.04,1,1248.04
708455883,Blue,175,1,44,01/01/23,Week-1,Q1,2023,10244,861,1127,29,0.084,Swipe ,Bills,202.86,0,1238.86
708459633,Blue,380,1,92,01/01/23,Week-1,Q1,2023,5815,1698,1604,42,0.292,Swipe ,Entertainment,352.88,0,2430.88
708462258,Silver,270,1,83,01/01/23,Week-1,Q1,2023,5189,1171,16563,94,0.226,Chip ,Travel,1821.93,0,3262.93
708469533,Blue,250,1,66,01/01/23,Week-1,Q1,2023,5395,1439,3523,79,0.267,Chip ,Fuel,493.22,0,2182.22
708472008,Blue,325,0,105,01/01/23,Week-1,Q1,2023,6680,1839,7632,95,0.275,Swipe ,Bills,1984.32,0,4148.32
708473133,Blue,150,1,111,01/01/23,Week-1,Q1,2023,1677,0,4588,68,0,Chip ,Fuel,1284.64,0,1434.64
708474333,Blue,465,0,89,01/01/23,Week-1,Q1,2023,12294,2517,7906,87,0.205,Online ,Bills,790.6,0,3772.6
708476808,Blue,320,0,124,01/01/23,Week-1,Q1,2023,33791,1960,1047,31,0.058,Swipe ,Bills,188.46,0,2468.46
708478233,Blue,395,1,119,01/01/23,Week-1,Q1,2023,5573,1238,4348,90,0.222,Swipe ,Fuel,869.6,0,2502.6
708480333,Blue,460,0,95,01/01/23,Week-1,Q1,2023,2163,932,2229,57,0.431,Swipe ,Bills,534.96,0,1926.96
708482658,Silver,125,1,87,01/01/23,Week-1,Q1,2023,9959,1946,15594,114,0.195,Chip ,Travel,2495.04,0,4566.04
708483708,Blue,250,0,74,01/01/23,Week-1,Q1,2023,28600,0,4336,66,0,Swipe ,Travel,1214.08,0,1464.08
708486033,Blue,395,0,83,01/01/23,Week-1,Q1,2023,16547,1521,1782,48,0.092,Swipe ,Entertainment,267.3,0,2183.3
708488208,Blue,125,0,161,01/01/23,Week-1,Q1,2023,2515,1922,2231,58,0.764,Swipe ,Bills,267.72,0,2314.72
708489258,Blue,250,1,84,01/01/23,Week-1,Q1,2023,1438.3,988,3561,72,0.687,Chip ,Bills,249.27,0,1487.27
708491508,Blue,465,0,116,01/01/23,Week-1,Q1,2023,13906,1430,3856,68,0.103,Chip ,Grocery,964,0,2859
708492558,Blue,95,1,74,01/01/23,Week-1,Q1,2023,15088,865,1107,21,0.057,Swipe ,Bills,77.49,0,1037.49
708494583,Blue,375,1,107,01/01/23,Week-1,Q1,2023,1902,0,3731,53,0,Swipe ,Fuel,559.65,0,934.65
708496833,Blue,150,0,100,01/01/23,Week-1,Q1,2023,4613,0,8970,78,0,Chip ,Grocery,627.9,0,777.9
708498033,Blue,335,1,79,01/01/23,Week-1,Q1,2023,2279,1837,2789,52,0.806,Swipe ,Grocery,753.03,0,2925.03
708499608,Silver,220,1,67,01/01/23,Week-1,Q1,2023,15525,1299,4042,78,0.084,Chip ,Food,970.08,0,2489.08
708500883,Silver,350,0,118,01/01/23,Week-1,Q1,2023,17812,0,8379,106,0,Swipe ,Fuel,1424.43,0,1774.43
708501783,Blue,315,0,75,01/01/23,Week-1,Q1,2023,34516,1477,1868,40,0.043,Chip ,Bills,504.36,0,2296.36
708502908,Silver,455,0,115,01/01/23,Week-1,Q1,2023,26218,0,3925,88,0,Swipe ,Fuel,785,0,1240
708504783,Blue,350,1,100,01/01/23,Week-1,Q1,2023,10960,1333,3480,62,0.122,Chip ,Food,939.6,0,2622.6
708506508,Blue,430,0,69,01/01/23,Week-1,Q1,2023,2884,1144,4887,90,0.397,Swipe ,Entertainment,439.83,0,2013.83
708507483,Blue,455,0,106,08/01/23,Week-2,Q1,2023,1477,0,4802,82,0,Chip ,Grocery,768.32,0,1223.32
708508758,Blue,375,1,52,08/01/23,Week-2,Q1,2023,1438.3,0,692,16,0,Swipe ,Bills,76.12,0,451.12
708510858,Blue,300,1,81,08/01/23,Week-2,Q1,2023,4905,2413,15478,109,0.492,Swipe ,Food,3714.72,0,6427.72
708511983,Blue,415,0,61,08/01/23,Week-2,Q1,2023,1663,0,3950,82,0,Chip ,Fuel,276.5,0,691.5
708513183,Blue,100,0,81,08/01/23,Week-2,Q1,2023,4323,1267,3078,58,0.293,Swipe ,Bills,430.92,0,1797.92
708514383,Blue,420,0,78,08/01/23,Week-2,Q1,2023,3809,1172,4314,81,0.308,Swipe ,Food,301.98,0,1893.98
708515358,Blue,190,1,104,08/01/23,Week-2,Q1,2023,4712,0,4216,82,0,Chip ,Entertainment,505.92,0,695.92
708516558,Blue,395,0,68,08/01/23,Week-2,Q1,2023,2588,1782,4159,83,0.689,Swipe ,Grocery,415.9,0,2592.9
708519108,Blue,300,1,94,08/01/23,Week-2,Q1,2023,2694,1576,2041,57,0.585,Swipe ,Entertainment,571.48,0,2447.48
708522033,Blue,480,0,95,08/01/23,Week-2,Q1,2023,12299,1664,15060,90,0.135,Chip ,Fuel,2108.4,0,4252.4
