Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score,Age_Group,Income_Group
708147108,55,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341,2,50-59,Low
708148158,33,M,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644,3,30-39,Mid
708151008,54,F,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423,2,50-59,Low
708152358,46,M,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014,2,40-49,High
708153558,44,M,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186,3,40-49,High
708154833,40,F,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835,2,40-49,Low
708155733,44,F,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345,2,40-49,Low
708158133,51,F,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215,2,50-59,Low
708160008,60,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581,3,60-69,High
708161133,49,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555,3,40-49,Mid
708162558,43,F,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381,2,40-49,Low
708163758,54,M,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809,1,50-59,High
708170508,32,F,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975,1,30-39,Low
708171858,52,F,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586,1,50-59,Low
708173433,43,F,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367,3,40-49,Low
708174708,49,F,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355,1,40-49,Low
708176208,49,F,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428,2,40-49,Mid
708177333,42,F,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865,2,40-49,Low
708178608,48,F,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304,1,40-49,Mid
708185208,47,F,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100,2,40-49,Low
708186933,47,F,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295,1,40-49,Low
708190158,47,F,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103,3,40-49,Low
708193008,53,F,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975,2,50-59,Low
708195633,47,F,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517,3,40-49,Low
708197358,42,M,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887,1,40-49,High
708204033,53,M,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233,1,50-59,Mid
708205083,54,M,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516,1,50-59,High
708207783,48,M,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959,1,40-49,High
708208758,42,F,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377,2,40-49,Low
708211383,44,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883,3,40-49,Mid
708212658,40,F,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041,2,40-49,Low
708216108,58,F,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221,3,50-59,Low
708217758,57,F,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975,3,50-59,Low
708219108,38,M,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561,3,30-39,High
708219858,53,F,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697,2,50-59,Mid
708222558,60,F,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022,3,60-69,Mid
708223383,51,F,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013,1,50-59,Low
708224133,39,M,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192,2,30-39,Mid
708225483,38,F,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061,2,30-39,Mid
708226833,50,M,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461,3,50-59,High
708229308,37,M,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839,2,30-39,High
708231183,39,F,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127,2,30-39,Low
708234558,62,M,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827,3,60-69,Mid
708238833,38,F,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994,1,30-39,Low
708241233,38,F,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225,1,30-39,Low
708242283,44,F,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755,3,40-49,Mid
708243483,60,F,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156,2,60-69,Low
708244458,26,M,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888,3,20-29,Mid
708245808,41,M,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701,1,40-49,High
708248358,61,F,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885,1,60-69,High
708249708,39,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975,1,30-39,Low
708252108,50,F,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229,2,50-59,Mid
708253458,45,M,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622,2,40-49,High
708254733,56,M,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152,2,50-59,High
708255633,47,F,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666,2,40-49,Mid
708260208,48,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686,1,40-49,Mid
708266883,37,F,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423,3,30-39,Low
708267858,33,F,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500,3,30-39,Low
708269583,41,F,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653,3,40-49,Mid
708271833,48,F,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680,3,40-49,Mid
708272808,41,F,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560,2,40-49,Mid
708273858,39,F,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203,1,30-39,Mid
708276183,54,F,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975,2,50-59,Low
708281433,40,F,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626,1,40-49,Mid
708285108,44,M,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861,1,40-49,High
708286683,38,M,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306,2,30-39,High
708288108,29,M,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250,3,20-29,Low
708290208,63,F,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835,2,60-69,Low
708291633,54,M,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894,1,50-59,High
708292833,41,F,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170,3,40-49,Low
708295533,55,M,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119,2,50-59,Low
708296883,31,F,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250,1,30-39,Low
708298233,44,F,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092,3,40-49,Low
708300483,46,F,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250,1,40-49,Low
708301683,40,M,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415,2,40-49,High
708303108,36,M,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574,1,30-39,High
708307533,37,M,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165,2,30-39,Mid
708313608,59,F,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659,3,50-59,Low
708314808,49,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975,3,40-49,Low
708316008,43,F,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806,3,40-49,Low
708319908,56,M,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230,3,50-59,High
708323208,45,F,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058,1,40-49,Low
708324483,63,M,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485,2,60-69,Mid
708330858,51,F,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250,3,50-59,Low
708331758,42,F,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112,3,40-49,Mid
708332808,49,F,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923,2,40-49,High
708334158,51,F,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512,2,50-59,Low
708337683,27,M,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779,1,20-29,Mid
708338958,42,M,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334,3,40-49,Mid
708340758,53,M,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220,2,50-59,High
708341958,48,M,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665,1,40-49,Mid
708344358,44,F,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638,2,40-49,Low
708347583,39,F,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112,2,30-39,Low
708354858,41,M,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730,1,40-49,High
708355683,46,F,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013,1,40-49,Low
708357183,38,F,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164,2,30-39,Mid
708358683,56,F,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975,1,50-59,Low
708360108,40,M,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412,2,40-49,High
708361833,55,F,3,Graduate,Single,CA,91750,no,yes,yes,unknown,White-collar,39861,2,50-59,Mid
708367908,42,M,4,Graduate,Single,TX,91750,no,no,no,cellular,Blue-collar,60037,3,40-49,Mid
708369633,47,M,2,Uneducated,Married,NY,91750,yes,no,no,telephone,Govt,101602,1,40-49,High
708371733,50,M,1,High School,Unknown,TX,91750,no,yes,no,cellular,Blue-collar,86281,2,50-59,High
708373083,41,F,3,High School,Married,TX,91750,yes,no,no,cellular,Blue-collar,20495,2,40-49,Low
708375858,45,F,4,Post-Graduate,Single,CA,91750,no,no,no,cellular,Govt,57624,1,40-49,Mid
708376983,43,F,4,Graduate,Unknown,TX,91750,no,yes,no,cellular,Govt,21828,3,40-49,Low
708378108,42,M,2,Uneducated,Single,NJ,91750,yes,no,no,cellular,White-collar,71834,1,40-49,High
708382083,35,F,1,Unknown,Married,TX,91750,no,no,no,cellular,Selfemployeed,30259,2,30-39,Low
708384033,45,F,1,High School,Unknown,CA,91750,no,no,no,unknown,Blue-collar,28037,3,40-49,Low
708385533,54,M,1,Post-Graduate,Unknown,NY,91750,no,yes,no,cellular,Govt,119059,2,50-59,High
708386958,42,F,5,Graduate,Married,GA,91750,yes,no,no,cellular,Blue-collar,19006,3,40-49,Low
708387933,37,M,3,High School,Single,TX,91750,no,yes,yes,unknown,Businessman,165306,3,30-39,High
708390633,49,M,2,High School,Single,NY,91750,no,no,no,cellular,Retirees,53965,1,40-49,Mid
708393633,36,M,3,Unknown,Single,CA,91750,yes,no,no,cellular,Retirees,71640,2,30-39,High
708394908,55,F,3,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,45818,1,50-59,Mid
708396033,44,M,3,Unknown,Single,CA,91750,no,no,no,cellular,White-collar,119585,1,40-49,High
708397008,45,F,3,High School,Married,CA,91750,no,no,no,telephone,White-collar,57821,1,40-49,Mid
708398283,41,F,3,High School,Unknown,TX,91750,no,yes,no,unknown,Govt,12775,3,40-49,Low
708399858,45,M,3,Unknown,Married,CA,91750,no,yes,no,cellular,White-collar,76565,2,40-49,High
708402333,57,M,3,Unknown,Single,NY,91750,yes,yes,yes,telephone,Govt,78127,3,50-59,High
708403308,48,M,3,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,60111,2,40-49,Mid
708404883,49,F,3,Unknown,Single,NY,91750,no,no,no,unknown,Blue-collar,32229,2,40-49,Low
708406083,57,M,2,Unknown,Single,CA,91750,no,yes,yes,unknown,Blue-collar,95876,2,50-59,High
708412758,62,F,1,Unknown,Married,CA,91750,yes,yes,no,cellular,White-collar,23378,2,60-69,Low
708414033,45,F,3,Graduate,Single,NY,91750,no,yes,no,cellular,Blue-collar,41115,3,40-49,Mid
708416433,53,F,4,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,28601,2,50-59,Low
708419733,44,M,3,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,76246,3,40-49,High
708421833,54,F,2,High School,Single,NY,91750,no,no,no,cellular,Selfemployeed,6550,2,50-59,Low
708423933,48,F,1,Doctorate,Married,IA,91750,no,no,no,cellular,Businessman,35491,2,40-49,Mid
708426483,60,F,1,Uneducated,Married,CT,91750,yes,yes,no,cellular,Businessman,38451,3,60-69,Mid
708427908,33,M,3,Graduate,Married,FL,91750,no,no,no,cellular,Blue-collar,72412,2,30-39,High
708428958,57,M,3,Graduate,Single,FL,91750,yes,no,no,cellular,White-collar,118175,2,50-59,High
708431433,41,F,2,Graduate,Married,CA,91750,no,no,no,telephone,Blue-collar,14633,3,40-49,Low
708433683,62,M,1,Graduate,Single,FL,91750,no,no,no,cellular,Govt,61002,2,60-69,Mid
708434733,52,F,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10627,2,50-59,Low
708438033,41,M,4,High School,Single,TX,91750,no,no,yes,telephone,Selfemployeed,30828,3,40-49,Low
708442158,42,F,4,Graduate,Married,CA,91750,yes,no,no,cellular,Businessman,42377,2,40-49,Mid
708445608,44,F,4,Uneducated,Married,FL,91750,no,no,no,cellular,Blue-collar,20389,3,40-49,Low
708446808,51,F,3,High School,Single,NY,91750,no,yes,no,cellular,Blue-collar,20281,3,50-59,Low
708447858,40,F,2,High School,Married,MA,91750,yes,yes,no,cellular,Businessman,200276,2,40-49,High
708450033,38,M,2,Unknown,Married,CA,91750,yes,no,no,cellular,Businessman,97684,3,30-39,High
708451233,26,F,0,Graduate,Single,FL,91750,yes,no,no,cellular,Retirees,40785,2,20-29,Mid
708453408,42,F,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,41039,2,40-49,Mid
708455883,33,F,0,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,6550,2,30-39,Low
708459633,45,F,5,Uneducated,Married,NY,91750,no,yes,yes,unknown,Selfemployeed,14975,2,40-49,Low
708462258,54,F,4,Graduate,Married,NJ,91750,no,no,no,cellular,Businessman,235349,2,50-59,High
708469533,57,F,3,Uneducated,Single,FL,91750,no,yes,no,unknown,Selfemployeed,38273,3,50-59,Mid
708472008,47,M,2,Graduate,Married,CA,91750,no,yes,yes,cellular,White-collar,105522,2,40-49,High
708473133,44,M,5,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,69787,3,40-49,Mid
708474333,50,M,4,Graduate,Married,TX,91750,no,no,no,unknown,Blue-collar,108894,3,50-59,High
708476808,55,F,1,Doctorate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,5525,3,50-59,Low
708478233,45,F,2,Uneducated,Married,NY,91750,no,yes,no,unknown,White-collar,58670,3,40-49,Mid
708480333,65,F,0,Uneducated,Single,FL,91750,no,no,no,cellular,Govt,23891,3,60-69,Low
708482658,51,M,2,Graduate,Married,TX,91750,yes,no,yes,telephone,Businessman,219668,2,50-59,High
708483708,39,M,2,Unknown,Married,NJ,91750,yes,no,no,cellular,Blue-collar,58122,3,30-39,Mid
708486033,59,F,0,Doctorate,Single,CA,91750,yes,no,no,cellular,Retirees,15671,3,50-59,Low
708488208,45,F,3,Uneducated,Married,TX,91750,yes,yes,yes,cellular,Businessman,23898,3,40-49,Low
708489258,56,F,5,Doctorate,Single,TX,91750,yes,no,no,unknown,Retirees,38817,3,50-59,Mid
708491508,46,F,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,43716,2,40-49,Mid
708492558,56,F,2,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,6550,2,50-59,Low
708494583,48,F,5,Post-Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,41132,3,40-49,Mid
708496833,33,M,1,Graduate,Single,CA,91750,yes,yes,no,cellular,Govt,117520,2,30-39,High
708498033,45,F,3,High School,Married,FL,91750,no,yes,no,cellular,White-collar,32495,3,40-49,Low
708499608,43,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Businessman,48566,2,40-49,Mid
708500883,40,M,4,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,113841,2,40-49,High
708501783,35,F,2,High School,Single,FL,91750,yes,no,no,cellular,Blue-collar,17340,3,30-39,Low
708502908,48,F,2,Graduate,Married,NJ,91750,yes,no,no,cellular,Blue-collar,45372,2,40-49,Mid
708504783,47,F,3,Uneducated,Married,IL,91750,no,yes,no,unknown,Retirees,37815,2,40-49,Mid
708506508,52,M,1,Uneducated,Single,VA,91750,no,no,yes,cellular,Selfemployeed,83535,2,50-59,High
708507483,55,M,4,Unknown,Single,NY,91750,no,no,no,cellular,Blue-collar,78913,3,50-59,High
708508758,34,F,4,Uneducated,Single,TX,91750,yes,no,no,cellular,Selfemployeed,1250,3,30-39,Low
708510858,55,F,2,High School,Single,CA,90025,no,no,no,unknown,Businessman,214404,2,50-59,High
708511983,48,M,3,Graduate,Single,CA,91750,yes,yes,no,cellular,Retirees,45977,3,40-49,Mid
708513183,40,F,5,High School,Single,CA,91750,no,no,no,unknown,Selfemployeed,34616,3,40-49,Low
708514383,55,F,4,Uneducated,Married,FL,91750,no,yes,no,cellular,White-collar,57484,2,50-59,Mid
708515358,45,F,4,High School,Married,TX,91750,no,yes,no,cellular,Businessman,53906,2,40-49,Mid
708516558,42,F,4,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,52148,3,40-49,Mid
708519108,47,F,2,Unknown,Single,CA,91750,yes,yes,no,unknown,Businessman,20597,2,40-49,Low
708522033,36,F,1,Uneducated,Single,CA,91701,no,yes,no,cellular,Businessman,198343,3,30-39,High
708525108,34,M,3,High School,Married,FL,91750,no,no,no,cellular,Govt,50792,2,30-39,Mid
708528483,44,F,2,Graduate,Unknown,FL,91750,no,no,no,cellular,Blue-collar,13010,2,40-49,Low
708532308,40,F,3,Unknown,Married,CA,91750,yes,yes,no,cellular,Govt,34149,2,40-49,Low
708534033,58,M,1,Unknown,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,75578,2,50-59,High
708535158,33,M,1,Graduate,Single,IA,91750,no,no,no,telephone,White-collar,114717,3,30-39,High
708536283,36,F,2,Graduate,Single,NY,91750,no,no,no,cellular,Govt,31226,2,30-39,Low
708538608,50,F,2,Uneducated,Married,NJ,91750,no,no,yes,telephone,Retirees,48968,3,50-59,Mid
708539583,51,F,1,Post-Graduate,Single,NY,91750,no,yes,no,cellular,Govt,46675,3,50-59,Mid
708542283,38,M,1,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,60253,2,30-39,Mid
708543258,55,F,2,Doctorate,Single,CA,91750,yes,yes,no,cellular,Businessman,20631,2,50-59,Low
708545058,59,M,0,High School,Single,NY,91750,yes,no,no,cellular,Govt,94345,2,50-59,High
708549033,45,M,4,High School,Married,CA,91750,no,no,no,unknown,Retirees,90458,2,40-49,High
708551508,41,M,3,Uneducated,Married,CA,91750,no,no,no,cellular,Selfemployeed,87971,2,40-49,High
708553008,49,M,4,Doctorate,Married,NJ,91750,yes,no,no,cellular,Govt,74928,1,40-49,High
708555633,51,M,3,Uneducated,Married,CA,90025,no,no,no,unknown,Businessman,203890,2,50-59,High
708557358,44,F,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,18357,2,40-49,Low
708558408,48,M,3,Unknown,Married,NY,91750,no,no,no,cellular,Selfemployeed,41925,3,40-49,Mid
708559533,43,M,1,High School,Married,TX,91750,yes,no,yes,cellular,Businessman,62768,2,40-49,Mid
708560733,37,M,3,High School,Single,CA,91750,no,yes,no,cellular,Govt,75192,3,30-39,High
708563433,40,F,2,Uneducated,Married,FL,91750,no,no,no,unknown,Selfemployeed,14975,3,40-49,Low
708564858,54,M,2,Unknown,Married,FL,91750,no,yes,no,unknown,White-collar,118629,1,50-59,High
708568983,53,M,3,Unknown,Married,FL,91750,no,yes,no,cellular,Govt,111225,3,50-59,High
708572658,51,F,3,Graduate,Married,CA,90250,yes,no,no,cellular,Businessman,196200,1,50-59,High
708573933,50,F,3,Post-Graduate,Single,IL,91750,yes,yes,no,cellular,Businessman,183118,2,50-59,High
708575058,50,F,0,Post-Graduate,Married,TX,91750,yes,yes,no,cellular,Businessman,36188,3,50-59,Mid
708577308,58,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,14975,2,50-59,Low
708579633,51,F,1,Doctorate,Married,TX,91750,no,yes,no,cellular,Blue-collar,13704,1,50-59,Low
708580908,41,F,2,Graduate,Married,TX,91750,yes,no,yes,cellular,Selfemployeed,12686,3,40-49,Low
708582858,47,F,1,Doctorate,Married,NY,91750,yes,no,no,cellular,Blue-collar,33801,2,40-49,Low
708584208,44,F,2,Graduate,Single,TX,91750,no,yes,no,cellular,Retirees,26226,2,40-49,Low
708585933,37,M,2,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,55576,1,30-39,Mid
708588408,51,M,3,High School,Married,CA,91750,yes,yes,no,cellular,Businessman,61579,3,50-59,Mid
708590658,39,F,4,High School,Single,CA,91750,yes,yes,no,cellular,Selfemployeed,14975,3,30-39,Low
708593883,35,F,0,Doctorate,Married,TX,91750,no,yes,no,unknown,White-collar,16316,3,30-39,Low
708595158,45,F,4,Uneducated,Married,CA,91750,yes,yes,no,cellular,Govt,26447,2,40-49,Low
708596283,56,F,3,Graduate,Single,FL,91750,yes,yes,no,unknown,Selfemployeed,32924,1,50-59,Low
708597558,49,M,5,Doctorate,Single,CA,91750,no,yes,yes,cellular,Blue-collar,45984,2,40-49,Mid
708600033,55,M,2,Unknown,Single,NY,91750,no,yes,no,unknown,Businessman,87531,2,50-59,High
708602283,47,F,4,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,45701,1,40-49,Mid
708606633,65,M,0,Graduate,Single,CA,91750,no,yes,no,cellular,White-collar,18114,3,60-69,Low
708611733,37,M,3,Doctorate,Single,FL,91750,no,yes,yes,cellular,Govt,73096,3,30-39,High
708614058,40,M,3,Unknown,Single,NJ,91750,no,no,no,cellular,Govt,44044,1,40-49,Mid
708615183,48,M,3,Graduate,Married,NJ,91750,no,yes,no,cellular,Govt,68693,3,40-49,Mid
708618933,36,F,4,Graduate,Single,CA,91750,yes,no,no,unknown,Govt,35767,1,30-39,Mid
708620283,48,F,2,Graduate,Single,NY,91750,yes,yes,no,unknown,White-collar,23554,1,40-49,Low
708621408,47,F,3,High School,Single,NY,91750,yes,yes,no,cellular,Govt,52557,2,40-49,Mid
708623283,31,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,Blue-collar,21274,3,30-39,Low
708626058,53,M,3,Unknown,Married,NJ,91750,no,no,no,cellular,Govt,50213,3,50-59,Mid
708633783,33,F,3,Graduate,Married,FL,91750,no,yes,no,cellular,Blue-collar,16244,2,30-39,Low
708635058,41,M,3,Graduate,Single,CA,91750,no,no,no,cellular,Govt,78702,2,40-49,High
708637758,27,F,1,Unknown,Single,MI,91750,no,no,no,cellular,White-collar,38269,1,20-29,Mid
708642708,28,M,0,Post-Graduate,Married,NJ,91750,yes,no,no,cellular,Selfemployeed,14975,3,20-29,Low
708644208,40,F,1,Uneducated,Married,CA,91750,no,no,no,telephone,Retirees,36638,1,40-49,Mid
708646233,35,F,1,Uneducated,Married,NJ,91750,no,no,no,cellular,Blue-collar,39538,2,30-39,Mid
708649683,51,F,3,Doctorate,Married,CA,90250,yes,yes,no,unknown,Businessman,214064,1,50-59,High
